Time,ValueA,ValueB
100.0,1,1
100.05,1,1
100.09999999999999,1,1
100.15000000000001,1,1
100.2,1,1
100.25,1,1
100.3,1,1
100.34999999999999,1,1
100.40000000000001,1,1
100.45,1,1
100.5,1,1
100.55,1,1
100.59999999999999,1,1
100.65000000000001,1,1
100.7,1,1
100.75,1,1
100.8,1,1
100.84999999999999,1,1
100.90000000000001,1,1
100.95,1,1
101.0,1,1
101.05,1,1
101.09999999999999,1,1
101.15000000000001,1,1
101.2,1,1
101.25,1,1
101.3,1,1
101.34999999999999,1,1
101.40000000000001,1,1
101.45,1,1
101.5,1,1
101.55,1,1
101.59999999999999,1,1
101.65000000000001,1,1
101.7,1,1
101.75,1,1
101.8,1,1
101.84999999999999,1,1
101.90000000000001,1,1
101.95,1,1
102.0,1,1
102.05,1,1
102.09999999999999,1,1
102.15000000000001,1,1
102.2,1,1
102.25,1,1
102.3,1,1
102.34999999999999,1,1
102.40000000000001,1,1
102.45,1,1
102.5,1,1
102.55,1,1
102.59999999999999,1,1
102.65000000000001,1,1
102.7,1,1
102.75,1,1
102.8,1,1
102.84999999999999,1,0
102.90000000000001,1,0
102.95,1,0
103.0,1,1
103.05,1,1
103.09999999999999,1,1
103.15000000000001,1,0
103.2,1,0
103.25,1,0
103.3,1,0
103.34999999999999,1,0
103.40000000000001,1,0
103.45,1,0
103.5,1,0
103.55,1,0
103.59999999999999,1,0
103.65000000000001,1,0
103.7,1,0
103.75,1,0
103.8,1,0
103.84999999999999,1,0
103.90000000000001,1,0
103.95,1,0
104.0,1,0
104.05,1,0
104.09999999999999,1,0
104.15000000000001,1,0
104.2,1,0
104.25,1,0
104.3,1,0
104.34999999999999,1,0
104.40000000000001,1,0
104.45,1,0
104.5,1,0
104.55,1,0
104.59999999999999,1,0
104.65000000000001,1,0
104.7,1,0
104.75,1,0
104.8,1,0
104.84999999999999,1,0
104.90000000000001,1,0
104.95,1,0
105.0,1,0
105.05,1,0
105.09999999999999,0,0
105.15000000000001,1,0
105.2,0,0
105.25,0,0
105.3,1,0
105.34999999999999,1,0
105.40000000000001,0,0
105.45,0,0
105.5,1,0
105.55,0,0
105.59999999999999,1,0
105.65000000000001,0,0
105.7,0,0
105.75,0,0
105.8,0,0
105.84999999999999,0,0
105.90000000000001,0,0
105.95,0,0
106.0,0,0
106.05,0,0
106.09999999999999,0,0
106.15000000000001,0,0
106.2,0,0
106.25,0,0
106.3,0,0
106.34999999999999,0,0
106.40000000000001,0,0
106.45,0,0
106.5,0,0
106.55,0,0
106.59999999999999,0,0
106.65000000000001,0,0
106.7,0,0
106.75,0,1
